Respondent_ID,Persona_Segment,Q1_Age_Group,Q2_City_Type,Q3_Occupation,Q4_Monthly_Income_INR,Q5_Exercise_Frequency,Q6_Workout_Location,Q7_Primary_Fitness_Goal,Q8_Biggest_Fitness_Challenge,Q9_Diet_Type,Q10_Dietary_Restrictions_Allergies,Q11_Meal_Management,Q12_Biggest_Diet_Challenge,Q13_Travel_Frequency,Q14_Daily_Routine,Q15_Time_Available_for_Fitness,Q16_Current_Fitness_App_User,Q17_Preferred_App_Features,Q18_Willingness_to_Pay_Monthly,Q19_What_Would_Make_You_Pay,Q20_Likelihood_to_Use_App,Q21_Current_Weight_Category,Q22_Problem_Impact_Score_1_to_5,Q23_Days_Followed_Plan_in_Last_30_Days,Q24_When_You_Stop_Following_Routine,Q25_Why_Stopped_Using_Fitness_Apps,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay,Q27_Primary_Motivation_to_Stay_Fit,Q28_Level_of_Control_Over_Daily_Meals,Q4_Monthly_Income_INR_Code,Q5_Exercise_Frequency_Code,Q13_Travel_Frequency_Code,Q14_Daily_Routine_Code,Q15_Time_Available_for_Fitness_Code,Q18_Willingness_to_Pay_Monthly_Code,Q20_Likelihood_to_Use_App_Code,Q23_Days_Followed_Plan_in_Last_30_Days_Code,Q26_If_Guaranteed_Results_3_Months_How_Much_Pay_Code,Feat_AI_workout_plan,Feat_Form_correction_via_video,Feat_Diet_planning,Feat_Calorie_tracking_via_photo,Feat_Travel_friendly_plans,Feat_Allergy_specific_diets,PayReason_Proven_results,PayReason_Personalization,PayReason_Expert_guidance,PayReason_Convenience,PayReason_All_in_one_solution
11,student_hostel,18-24,Tier 2,Student,"<20,000",3-4 times/week,Gym,General fitness,No proper diet,Eggetarian,None,Mix of both,Budget constraints,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Diet planning",₹199-₹499,"Proven results, Personalization",Very likely,,5,11-20,Never started properly,No results,₹499,Looking good (aesthetics),Very limited control (hostel/mess),0,2,0.0,1,1,2,4,2,2,0,0,1,1,0,0,1,1,0,0,0
12,older_active,45-54,Tier 1,Retired,"50,000-1,00,000",1-2 times/week,Home,Not sure,Lack of knowledge,Eggetarian,None,Home-cooked,No time to cook,Rarely,Highly unpredictable,30-60 mins,Yes,Allergy-specific diets,₹199-₹499,"All-in-one solution, Expert guidance",Neutral,Underweight,3,0-5,Busy schedule,Lost motivation,₹999,Health concerns,Full control (cook myself),2,1,0.0,2,1,2,2,0,3,0,0,0,0,0,1,0,0,1,0,1
13,family_health_seeker,35-44,Tier 2,Homemaker,"1,00,000-2,00,000",1-2 times/week,Home,Weight loss,Lack of time,Vegetarian,None,,Cravings,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Form correction via video, Diet planning",₹499-₹999,Personalization,Neutral,Overweight,4,6-10,Travel,Too expensive,₹2000+,Mental well-being,Full control (cook myself),3,1,0.0,1,1,3,2,1,4,0,1,1,1,0,0,0,1,0,0,0
14,student_hostel,18-24,Tier 2,Student,"20,000-50,000",5+ times/week,Gym,Muscle gain,No access to gym,Non-vegetarian,Gluten intolerance,Hostel/mess food,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,Yes,"Calorie tracking via photo, Allergy-specific diets, Form correction via video",₹999+,All-in-one solution,Neutral,Normal,3,6-10,Never started properly,Too expensive,₹2000+,Health concerns,Very limited control (hostel/mess),1,3,0.0,1,1,4,2,1,4,0,1,0,1,0,1,0,0,0,0,1
15,student_hostel,18-24,Tier 1,Student,"50,000-1,00,000",Never,I don't work out,General fitness,No proper diet,Non-vegetarian,None,Order food frequently,Don't know what to eat,Occasionally,Somewhat structured,<30 mins,No,"Calorie tracking via photo, AI workout plan, Diet planning",₹199-₹499,"Expert guidance, Convenience, All-in-one solution",Likely,Underweight,5,11-20,Never started properly,Never used any,₹999,Looking good (aesthetics),Full control (cook myself),2,0,1.0,1,0,2,3,2,3,1,0,1,1,0,0,0,0,1,1,1
16,student_hostel,18-24,Metro,Student,"50,000-1,00,000",Never,I don't work out,General fitness,Lack of knowledge,Vegetarian,None,Hostel/mess food,Lack of consistency,Rarely,Very structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo",₹499-₹999,"Expert guidance, Personalization, Proven results",Neutral,Normal,3,11-20,Never started properly,Not personalized,₹999,Mental well-being,Partial control,2,0,0.0,0,1,3,2,2,3,0,1,0,1,0,0,1,1,1,0,0
17,young_professional,18-24,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Home,General fitness,Lack of knowledge,Vegetarian,None,Home-cooked,Budget constraints,Rarely,Very structured,30-60 mins,Yes,Calorie tracking via photo,₹199-₹499,Proven results,Neutral,Overweight,3,0-5,Travel,Too complicated,₹999,Health concerns,Partial control,2,3,0.0,0,1,2,2,0,3,0,0,0,1,0,0,1,0,0,0,0
18,gym_enthusiast,25-34,Tier 3 / Rural,Working Professional,"1,00,000-2,00,000",3-4 times/week,Outdoors,Weight loss,No proper diet,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Very structured,60-90 mins,Yes,"AI workout plan, Form correction via video, Travel-friendly plans",₹999+,"Personalization, Proven results",Likely,Obese,4,20+,Don't see results,Not personalized,₹2000+,Looking good (aesthetics),Partial control,3,2,0.0,0,2,4,3,3,4,1,1,0,0,1,0,1,1,0,0,0
19,young_professional,25-34,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Home,Weight loss,Lack of motivation,Non-vegetarian,None,Home-cooked,Lack of consistency,Occasionally,Somewhat structured,30-60 mins,Yes,"AI workout plan, Calorie tracking via photo, Form correction via video",₹199-₹499,"Proven results, Convenience",Neutral,Overweight,3,20+,Busy schedule,Not personalized,₹499,Looking good (aesthetics),Full control (cook myself),2,2,1.0,1,1,2,2,3,2,1,1,0,1,0,0,1,0,0,1,0
20,young_professional,25-34,Tier 2,Working Professional,"20,000-50,000",1-2 times/week,Gym,General fitness,Lack of motivation,Vegetarian,None,Order food frequently,No time to cook,Occasionally,Somewhat structured,30-60 mins,No,"Diet planning, Form correction via video, Calorie tracking via photo",₹499-₹999,"Proven results, All-in-one solution, Convenience",Neutral,Normal,4,11-20,Social events,Never used any,₹999,Performance/strength,Partial control,1,1,1.0,1,1,3,2,2,3,0,1,1,1,0,0,1,0,0,1,1
21,gym_enthusiast,55+,Metro,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of time,Non-vegetarian,None,Mix of both,Cravings,Rarely,Very structured,90+ mins,Yes,Diet planning,₹499-₹999,"All-in-one solution, Personalization, Proven results",Unlikely,Obese,2,11-20,Don't see results,Too expensive,₹2000+,Looking good (aesthetics),Partial control,2,3,0.0,0,3,3,1,2,4,0,0,1,0,0,0,1,1,0,0,1
22,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",1-2 times/week,Gym,General fitness,No access to gym,Non-vegetarian,Gluten intolerance,Hostel/mess food,No time to cook,Frequently,Somewhat structured,30-60 mins,No,"Calorie tracking via photo, Allergy-specific diets",₹99-₹199,"Proven results, Personalization",Neutral,Underweight,4,6-10,Social events,Never used any,₹499,Mental well-being,Very limited control (hostel/mess),0,1,2.0,1,1,1,2,1,2,0,0,0,1,0,1,1,1,0,0,0
23,young_professional,35-44,Tier 3 / Rural,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Weight loss,Lack of knowledge,Eggetarian,Other,Mix of both,Cravings,Occasionally,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Allergy-specific diets",₹999+,All-in-one solution,Very likely,Overweight,5,0-5,Lack of motivation,Too complicated,₹2000+,Performance/strength,Very limited control (hostel/mess),2,2,1.0,2,1,4,4,0,4,0,1,0,0,0,1,0,0,0,0,1
24,young_professional,18-24,Tier 1,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of time,Eggetarian,Gluten intolerance,Mix of both,Cravings,Rarely,Highly unpredictable,30-60 mins,Yes,"Form correction via video, Allergy-specific diets",₹999+,Personalization,Unlikely,Obese,2,11-20,Busy schedule,Not personalized,₹2000+,Social pressure,Partial control,2,3,0.0,2,1,4,1,2,4,0,1,0,0,0,1,0,1,0,0,0
25,young_professional,25-34,Metro,Working Professional,"50,000-1,00,000",Never,I don't work out,General fitness,Lack of time,Non-vegetarian,Lactose intolerance,Order food frequently,No time to cook,Occasionally,Very structured,30-60 mins,No,"Form correction via video, Diet planning, Travel-friendly plans",₹499-₹999,Personalization,Neutral,Normal,5,6-10,Travel,Never used any,₹2000+,Looking good (aesthetics),Full control (cook myself),2,0,1.0,0,1,3,2,1,4,0,1,1,0,1,0,0,1,0,0,0
26,family_health_seeker,45-54,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Outdoors,General fitness,Lack of time,Vegetarian,None,Home-cooked,Cravings,Rarely,Very structured,30-60 mins,No,"Calorie tracking via photo, Diet planning",₹499-₹999,"All-in-one solution, Expert guidance",Likely,Normal,3,6-10,Lack of motivation,Never used any,₹999,Looking good (aesthetics),Full control (cook myself),2,2,0.0,0,1,3,3,1,3,0,0,1,1,0,0,0,0,1,0,1
27,student_hostel,35-44,Tier 1,Student,"<20,000",Never,I don't work out,Weight loss,Lack of time,Eggetarian,None,Home-cooked,No time to cook,Rarely,Somewhat structured,30-60 mins,Yes,"Diet planning, Travel-friendly plans, AI workout plan",₹199-₹499,"Proven results, Convenience, Expert guidance",Neutral,Underweight,4,11-20,Lack of motivation,Lost motivation,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,0,0.0,1,1,2,2,2,3,1,0,1,0,1,0,1,0,1,1,0
28,gym_enthusiast,25-34,Metro,Homemaker,"50,000-1,00,000",Never,Gym,General fitness,No proper diet,Non-vegetarian,None,Home-cooked,Lack of consistency,Rarely,Very structured,30-60 mins,No,Form correction via video,₹999+,"Proven results, All-in-one solution",Likely,Overweight,5,11-20,Busy schedule,,₹2000+,Looking good (aesthetics),Full control (cook myself),2,0,0.0,0,1,4,3,2,4,0,1,0,0,0,0,1,0,0,0,1
29,gym_enthusiast,18-24,Metro,Working Professional,"<20,000",3-4 times/week,Gym,Not sure,No proper diet,Non-vegetarian,None,Mix of both,Lack of consistency,,Highly unpredictable,30-60 mins,No,"Form correction via video, AI workout plan, Diet planning",₹199-₹499,"Expert guidance, Proven results",Very unlikely,Obese,1,11-20,Never started properly,Never used any,₹999,Looking good (aesthetics),Partial control,0,2,,2,1,2,0,2,3,1,1,1,0,0,0,1,0,1,0,0
30,student_hostel,18-24,Metro,Working Professional,"<20,000",1-2 times/week,Home,Muscle gain,Lack of time,Non-vegetarian,None,Hostel/mess food,Don't know what to eat,Rarely,Somewhat structured,30-60 mins,No,"Form correction via video, Travel-friendly plans, AI workout plan",₹199-₹499,"Convenience, Personalization, Proven results",Very unlikely,Normal,2,0-5,Busy schedule,Never used any,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,1,0.0,1,1,2,0,0,3,1,1,0,0,1,0,1,1,0,1,0
31,gym_enthusiast,18-24,Tier 2,Working Professional,"50,000-1,00,000",3-4 times/week,Gym,Muscle gain,No proper diet,Non-vegetarian,Lactose intolerance,Home-cooked,Lack of consistency,Frequently,Highly unpredictable,60-90 mins,Yes,"AI workout plan, Allergy-specific diets, Form correction via video",₹499-₹999,Proven results,Neutral,Obese,3,11-20,Don't see results,Lost motivation,₹2000+,Looking good (aesthetics),Partial control,2,2,2.0,2,2,3,2,2,4,1,1,0,0,0,1,1,0,0,0,0
32,student_hostel,18-24,Tier 3 / Rural,Student,"<20,000",1-2 times/week,Home,Muscle gain,Lack of motivation,Vegetarian,,Order food frequently,Lack of consistency,Rarely,Somewhat structured,60-90 mins,Yes,"Allergy-specific diets, Diet planning, AI workout plan",₹199-₹499,"Personalization, Convenience, Expert guidance",Neutral,Overweight,5,11-20,Busy schedule,Lost motivation,₹999,Health concerns,Very limited control (hostel/mess),0,1,0.0,1,2,2,2,2,3,1,0,1,0,0,1,0,1,1,1,0
33,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Outdoors,Weight loss,Lack of motivation,Eggetarian,Other,Hostel/mess food,Lack of consistency,Occasionally,Somewhat structured,60-90 mins,Yes,"Form correction via video, Allergy-specific diets, Calorie tracking via photo",₹199-₹499,,Very unlikely,Obese,3,6-10,Social events,Lost motivation,₹999,Looking good (aesthetics),Very limited control (hostel/mess),0,1,1.0,1,2,2,0,1,3,0,1,0,1,0,1,0,0,0,0,0
34,older_active,45-54,Metro,Homemaker,"20,000-50,000",Never,Home,General fitness,Lack of motivation,Non-vegetarian,Gluten intolerance,,Lack of consistency,Rarely,Very structured,30-60 mins,No,Form correction via video,₹499-₹999,"Proven results, Personalization",Likely,Overweight,5,20+,Busy schedule,Never used any,₹2000+,Social pressure,Full control (cook myself),1,0,0.0,0,1,3,3,3,4,0,1,0,0,0,0,1,1,0,0,0
35,older_active,55+,Tier 3 / Rural,Retired,"20,000-50,000",3-4 times/week,Home,General fitness,Lack of motivation,Non-vegetarian,None,Mix of both,Lack of consistency,Rarely,Highly unpredictable,30-60 mins,No,"Allergy-specific diets, Calorie tracking via photo, Diet planning",₹499-₹999,"Proven results, Expert guidance, All-in-one solution",Neutral,Overweight,2,11-20,Don't see results,Never used any,₹2000+,Mental well-being,Very limited control (hostel/mess),1,2,0.0,2,1,3,2,2,4,0,0,1,1,0,1,1,0,1,0,1
36,family_health_seeker,35-44,Tier 2,Homemaker,"1,00,000-2,00,000",1-2 times/week,Home,Weight loss,Lack of knowledge,Non-vegetarian,None,Home-cooked,No time to cook,Rarely,Somewhat structured,<30 mins,No,"Allergy-specific diets, AI workout plan",₹999+,"Proven results, Expert guidance",Likely,Obese,4,20+,Social events,Never used any,₹2000+,Health concerns,Very limited control (hostel/mess),3,1,0.0,1,0,4,3,3,4,1,0,0,0,0,1,1,0,1,0,0
37,young_professional,25-34,Tier 3 / Rural,Working Professional,"50,000-1,00,000",5+ times/week,Gym,General fitness,Lack of time,Vegetarian,None,Mix of both,Don't know what to eat,Occasionally,Somewhat structured,30-60 mins,No,"Form correction via video, AI workout plan",₹499-₹999,"Convenience, Expert guidance",Neutral,Overweight,1,0-5,Lack of motivation,Never used any,₹2000+,Health concerns,Partial control,2,3,1.0,1,1,3,2,0,4,1,1,0,0,0,0,0,0,1,1,0
38,student_hostel,18-24,Tier 2,Student,"<20,000",5+ times/week,Outdoors,General fitness,No proper diet,Non-vegetarian,None,Home-cooked,Budget constraints,Rarely,Highly unpredictable,30-60 mins,No,"Form correction via video, Calorie tracking via photo",₹199-₹499,"Proven results, Convenience, All-in-one solution",Likely,Normal,4,11-20,Travel,Never used any,₹999,Performance/strength,Very limited control (hostel/mess),0,3,0.0,2,1,2,3,2,3,0,1,0,1,0,0,1,0,0,1,1
39,busy_traveler,25-34,Metro,Working Professional,"50,000-1,00,000",1-2 times/week,Outdoors,General fitness,Lack of knowledge,Eggetarian,None,Order food frequently,No time to cook,,Highly unpredictable,<30 mins,No,"Travel-friendly plans, AI workout plan, Form correction via video",₹99-₹199,"Personalization, All-in-one solution",Neutral,Normal,4,11-20,Social events,Never used any,₹2000+,Mental well-being,Very limited control (hostel/mess),2,1,,2,0,1,2,2,4,1,1,0,0,1,0,0,1,0,0,1
40,young_professional,18-24,Tier 1,Student,"1,00,000-2,00,000",1-2 times/week,Gym,Muscle gain,Lack of time,Non-vegetarian,None,Mix of both,No time to cook,Occasionally,Somewhat structured,60-90 mins,Yes,"Travel-friendly plans, Form correction via video",₹999+,"All-in-one solution, Personalization, Proven results",Very likely,Normal,4,11-20,Travel,Not personalized,₹2000+,Performance/strength,Very limited control (hostel/mess),3,1,1.0,1,2,4,4,2,4,0,1,0,0,1,0,1,1,0,0,1
41,student_hostel,18-24,Tier 2,Student,"20,000-50,000",1-2 times/week,Gym,Weight loss,Lack of motivation,Non-vegetarian,Other,Home-cooked,Budget constraints,Rarely,Somewhat structured,30-60 mins,Yes,"AI workout plan, Travel-friendly plans, Calorie tracking via photo",₹499-₹999,"Proven results, All-in-one solution, Expert guidance",Very likely,Overweight,5,11-20,Never started properly,Too expensive,₹999,Performance/strength,Very limited control (hostel/mess),1,1,0.0,1,1,3,4,2,3,1,0,0,1,1,0,1,0,1,0,1
42,gym_enthusiast,35-44,Tier 3 / Rural,Student,"20,000-50,000",3-4 times/week,Gym,Muscle gain,No proper diet,Eggetarian,None,,Don't know what to eat,Rarely,Somewhat structured,60-90 mins,No,Travel-friendly plans,₹999+,Personalization,Neutral,Normal,4,20+,Social events,Never used any,₹2000+,Looking good (aesthetics),Partial control,1,2,0.0,1,2,4,2,3,4,0,0,0,0,1,0,0,1,0,0,0
43,student_hostel,18-24,Tier 1,Student,"<20,000",1-2 times/week,Gym,General fitness,Lack of time,Vegetarian,Lactose intolerance,Home-cooked,Don't know what to eat,Occasionally,Very structured,<30 mins,No,Calorie tracking via photo,Free only,"Personalization, Proven results",Very unlikely,Normal,4,11-20,Busy schedule,Never used any,₹199,Performance/strength,Very limited control (hostel/mess),0,1,1.0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0
44,older_active,55+,Tier 3 / Rural,Homemaker,"50,000-1,00,000",3-4 times/week,Outdoors,Medical/rehabilitation,Lack of knowledge,Vegetarian,None,Mix of both,Budget constraints,Rarely,Highly unpredictable,<30 mins,No,"Calorie tracking via photo, Diet planning",₹199-₹499,"Proven results, Expert guidance, Personalization",Neutral,Overweight,3,6-10,Don't see results,Never used any,₹499,Health concerns,Full control (cook myself),2,2,0.0,2,0,2,2,1,2,0,0,1,1,0,0,1,1,1,0,0
45,young_professional,25-34,Metro,Working Professional,"20,000-50,000",5+ times/week,Outdoors,General fitness,Lack of time,Non-vegetarian,None,Order food frequently,No time to cook,Occasionally,Highly unpredictable,30-60 mins,Yes,"Calorie tracking via photo, Diet planning, AI workout plan",₹499-₹999,"Personalization, Proven results",Neutral,Overweight,3,0-5,Don't see results,Not personalized,₹2000+,Looking good (aesthetics),Full control (cook myself),1,3,1.0,2,1,3,2,0,4,1,0,1,1,0,0,1,1,0,0,0
46,busy_traveler,35-44,Metro,Working Professional,"50,000-1,00,000",3-4 times/week,Outdoors,General fitness,Lack of time,Eggetarian,None,Home-cooked,No time to cook,Frequently,Highly unpredictable,30-60 mins,No,"Form correction via video, AI workout plan, Diet planning",₹499-₹999,"Proven results, Convenience",Neutral,Overweight,4,0-5,Busy schedule,Never used any,₹2000+,Performance/strength,Partial control,2,2,2.0,2,1,3,2,0,4,1,1,1,0,0,0,1,0,0,1,0
47,young_professional,25-34,Metro,Working Professional,"20,000-50,000",3-4 times/week,Gym,General fitness,Lack of knowledge,Eggetarian,,Home-cooked,No time to cook,Occasionally,Somewhat structured,30-60 mins,Yes,"Form correction via video, Calorie tracking via photo, Travel-friendly plans",₹499-₹999,"Convenience, Personalization, All-in-one solution",Very unlikely,Normal,1,20+,Lack of motivation,Too expensive,₹2000+,Looking good (aesthetics),Partial control,1,2,1.0,1,1,3,0,3,4,0,1,0,1,1,0,0,1,0,1,1
48,gym_enthusiast,35-44,Tier 3 / Rural,Working Professional,"20,000-50,000",5+ times/week,Gym,Weight loss,Lack of time,Non-vegetarian,None,Hostel/mess food,Budget constraints,Rarely,Very structured,60-90 mins,Yes,AI workout plan,₹499-₹999,"Personalization, All-in-one solution, Convenience",Likely,Overweight,4,11-20,Never started properly,Too expensive,₹999,Performance/strength,Full control (cook myself),1,3,0.0,0,2,3,3,2,3,1,0,0,0,0,0,0,1,0,1,1
49,gym_enthusiast,18-24,Metro,Working Professional,"1,00,000-2,00,000",3-4 times/week,Gym,Muscle gain,Lack of knowledge,Non-vegetarian,None,Mix of both,Budget constraints,Rarely,Very structured,60-90 mins,No,"Calorie tracking via photo, Form correction via video, AI workout plan",₹499-₹999,"Convenience, Proven results, Expert guidance",Neutral,Normal,4,11-20,Never started properly,Never used any,₹2000+,Performance/strength,Partial control,3,2,0.0,0,2,3,2,2,4,1,1,0,1,0,0,1,0,1,1,0
50,student_hostel,18-24,Metro,Student,"<20,000",1-2 times/week,Outdoors,General fitness,No access to gym,Vegetarian,Other,Mix of both,Don't know what to eat,Rarely,Very structured,30-60 mins,Yes,"Diet planning, Allergy-specific diets",₹199-₹499,"Proven results, Expert guidance",Likely,Normal,4,0-5,Lack of motivation,,₹999,Social pressure,Very limited control (hostel/mess),0,1,0.0,0,1,2,3,0,3,0,0,1,0,0,1,1,0,1,0,0
51,older_active,55+,Tier 1,Homemaker,"20,000-50,000",5+ times/week,Home,Not sure,Lack of motivation,Non-vegetarian,None,Home-cooked,Budget constraints,Rarely,Somewhat structured,90+ mins,No,Diet planning,₹199-₹499,"Personalization, Convenience",Very unlikely,Overweight,2,6-10,Busy schedule,Never used any,₹999,Performance/strength,Partial control,1,3,0.0,1,3,2,0,1,3,0,0,1,0,0,0,0,1,0,1,0
52,family_health_seeker,45-54,Tier 2,Working Professional,"20,000-50,000",Never,I don't work out,Weight loss,No proper diet,Vegetarian,None,Home-cooked,Cravings,Rarely,Very structured,30-60 mins,No,"Travel-friendly plans, Calorie tracking via photo",₹199-₹499,"Personalization, Expert guidance, Convenience",Unlikely,Obese,3,20+,Never started properly,Never used any,₹499,Mental well-being,Full control (cook myself),1,0,0.0,0,1,2,1,3,2,0,0,0,1,1,0,0,1,1,1,0
